A あ
I い
U う
E え
O お
KA か
KI き
KU く
KE け
KO こ
GA が
GI ぎ
GU ぐ
GE げ
GO ご
SA さ
SO し
SU す
SE せ
SO そ
ZA ざ
ZI じ
ZU ず
ZE ぜ
ZO ぞ
TA た
TI ち
TU つ
TE て
TO と
DA だ
DI ぢ
DU づ
DE で
DO ど
NA な
NI に
NU ぬ
NE ね
NO の
HA は
HI ひ
HU ふ
HE へ
HO ほ
BA ば
BI び
BU ぶ
BE べ
BO ぼ
PA ぱ
PI ぴ
PU ぷ
PE ぺ
PO ぽ
MA ま
MI み
MU む
ME め
MO も
YA や
YU ゆ
YO よ
RA ら
RI り
RU る
RE れ
RO ろ
WA わ
WI うぃ
WE うぇ
WO うぉ
NN ん
MM ん
KYA きゃ
KYI き
KYU きゅ
KYE きぇ
KYO きょ
GYA ぎゃ
GYI ぎ
GYU ぎゅ
GYE ぎぇ
GYO ぎょ
SYA しゃ
SYI し
SYU しゅ
SYE しぇ
SYO しょ
TYA ちゃ
TYI ち
TYU ちゅ
TYE ちぇ
TYO ちょ
ZYA じゃ
ZYI じ
ZYU じゅ
ZYE じぇ
ZYO じょ
DYA ぢゃ
DYI ぢ
DYU ぢゅ
DYE ぢぇ
DYO ぢょ
TJA てゃ
TJI てぃ
TJU てゅ
TJE てぇ
TJO てょ
DJA でゃ
DJI でぃ
DJU でゅ
DJE でぇ
DJO でょ
NYA にゃ
NYI に
NYU にゅ
NYE にぇ
NYO にょ
HYA ひゃ
HYI ひ
HYU ひゅ
HYE ひぇ
HYO ひょ
BYA びゃ
BYI び
BYU びゅ
BYE びぇ
BYO びょ
PYA ぴゃ
PYI ぴ
PYU ぴゅ
PYE ぴぇ
PYO ぴょ
FYA ふゃ
FYU ふゅ
FYE ふぇ
FYO ふょ
MYA みゃ
MYI み
MYU みゅ
MYE みぇ
MYO みょ
RYA りゃ
RYI り
RYU りゅ
RYE りぇ
RYO りょ
SHA しゃ
SHI し
SHU しゅ
SHE しぇ
SHO しょ
JA じゃ
JI じ
JU じゅ
JE じぇ
JO じょ
CHA ちゃ
CHI ち
CHU ちゅ
CHE ちぇ
CHO ちょ
TSA つぁ
TSI つぃ
TSU つ
TSE つぇ
TSO つぉ
SWA さ
SWI すぃ
SWU す
SWE せ
SWO そ
ZWA ざ
ZWI ずぃ
ZWU ず
ZWE ぜ
ZWO ぞ
TWA た
TWI てぃ
TWU とぅ
TWE てぇ
TWO と
DWA だ
DWI でぃ
DWU どぅ
DWE でぇ
DWO ど
FA ふぁ
FI ふぃ
FU ふ
FE ふぇ
FO ふぉ
